Country,Quality Score,SDGi,Life Exectancy,HDI,Per Capita GDP,Region,Income Group,Population (millions),footprint_production,footprint_consumption,Total biocapacity ,Ecological (Deficit) or Reserve,num_earths,Number of Countries required,official_overshoot_day,overshoot_day_consumption,difference
French Polynesia,2B,,79,,,Asia-Pacific,HI,0.3,2.021414388,3.717597999,1.127148909,-2.6,2.5,3.3,2024-05-28,2024-05-27,-1.0
Gabon,2A,62.8,66,0.71,"$15,287",Africa,UM,2.3,1.841092868,2.064461271,16.93358961,14.9,1.4,0.1,2024-09-24,2024-09-23,-1.0
Gambia,3A,60.2,62,0.5,"$2,266",Africa,LI,2.6,0.469834944,0.853872155,0.453522263,-0.4,0.6,1.9,,2025-10-08,
Georgia,2A,73.4,72,0.8,"$15,926",Middle East/Central Asia,LM,4,1.887623576,2.655478228,1.381262506,-1.3,1.8,1.9,2024-07-26,2024-07-26,0.0
Germany,3A,82.2,81,0.94,"$54,192",EU-27,HI,83.9,4.008898359,4.498679275,1.614535735,-2.9,3.0,2.8,2024-05-02,2024-05-01,-1.0
Ghana,3A,63.4,64,0.63,"$5,785",Africa,LM,32.4,1.5455888,1.755277975,0.923303742,-0.8,1.2,1.9,2024-11-10,2024-11-09,-1.0
Greece,3A,76.8,80,0.89,"$30,488",EU-27,HI,10.3,2.964877112,3.780198345,1.604464539,-2.2,2.5,2.4,2024-05-25,2024-05-25,0.0
Grenada,2B,,75,0.8,"$15,668",Central America/Caribbean,UM,0.1,1.017848185,1.777002913,1.579307577,-0.2,1.2,1.1,2024-11-06,2024-11-06,0.0
Guadeloupe,2B,,,,,Central America/Caribbean,,0.4,2.232354644,3.419968984,0.550723844,-2.9,2.3,6.2,2024-06-10,2024-06-09,-1.0
Guatemala,3A,61,69,0.63,"$8,489",Central America/Caribbean,LM,18.6,1.548158902,1.893801705,0.963671112,-0.9,1.3,2.0,2024-10-18,2024-10-17,-1.0
Guinea,3A,51.3,59,0.47,"$2,595",Africa,LI,13.9,1.364937516,1.525928653,1.718858332,0.2,1.0,0.9,2024-12-27,2024-12-27,0.0
Guinea-Bissau,3A,,60,0.48,"$2,384",Africa,LI,2.1,1.259277851,1.207244845,2.243595147,1.0,0.8,0.5,,2025-04-01,
Guyana,2B,63.9,66,0.71,"$32,768",South America,LM,0.8,4.530829918,3.315294223,70.50741296,67.2,2.2,0.0,2024-06-15,2024-06-14,-1.0
Haiti,3A,51.9,63,0.54,"$2,731",Central America/Caribbean,LI,11.7,0.375912925,0.591012228,0.235699613,-0.4,0.4,2.5,,2026-07-23,
Honduras,2B,63.1,70,0.62,"$5,773",Central America/Caribbean,LM,10.2,1.288882232,1.347078907,1.651119574,0.3,0.9,0.8,,2025-02-13,
Hungary,2A,79,74,0.85,"$35,069",EU-27,HI,9.6,3.847271334,3.788585828,2.570671975,-1.2,2.5,1.5,2024-05-25,2024-05-24,-1.0
India,3A,60.3,67,0.63,"$7,159",Asia-Pacific,LM,"1,406.60",1.011949052,1.037628005,0.342227652,-0.7,0.7,3.0,,2025-06-15,
Indonesia,3A,69.2,68,0.71,"$12,449",Asia-Pacific,LM,279.1,1.866664129,1.678629244,1.227370667,-0.5,1.1,1.4,2024-11-24,2024-11-24,0.0
"Iran, Islamic Republic of",2A,68.6,74,0.77,"$15,702",Middle East/Central Asia,UM,86,3.208146491,3.2486495,0.751314683,-2.5,2.2,4.3,2024-06-18,2024-06-18,0.0
Iraq,2A,62.3,70,0.69,"$10,399",Middle East/Central Asia,LM,42.2,1.436040842,1.726746196,0.314221898,-1.4,1.1,5.5,2024-11-15,2024-11-15,0.0
